epoch,step,train_loss,val_loss
0,9,1.2936549186706543,
0,17,,1.2692503929138184
1,19,2.532703399658203,
1,29,1.541640281677246,
1,35,,0.9928262829780579
2,39,0.9091342687606812,
2,49,0.9838446378707886,
2,53,,0.845192551612854
3,59,1.0699107646942139,
3,69,0.7529025077819824,
3,71,,0.7252870202064514
4,79,0.6832532286643982,
4,89,0.5958089232444763,
4,89,,0.6216957569122314
5,99,0.6327136754989624,
5,107,,0.5358288288116455
6,109,0.7259462475776672,
6,119,0.4874073266983032,
6,125,,0.4882647693157196
7,129,0.4063766300678253,
7,139,0.7273352146148682,
7,143,,0.6203176379203796
8,149,1.2035911083221436,
8,159,1.5850404500961304,
8,161,,0.5361539125442505
9,169,1.5690499544143677,
9,179,0.6200809478759766,
9,179,,1.6779097318649292
10,189,0.9620754718780518,
10,197,,0.5248436331748962
11,199,0.4883196949958801,
11,209,0.4949278235435486,
11,215,,0.42585504055023193
12,219,0.6095479726791382,
12,229,0.32549047470092773,
12,233,,0.383104532957077
13,239,1.3096857070922852,
13,249,0.6162996292114258,
13,251,,0.4173387289047241
14,259,0.3159339427947998,
14,269,0.4024900496006012,
14,269,,0.34581926465034485
15,279,0.3112558424472809,
15,287,,0.3381862938404083
16,289,0.3928672671318054,
16,299,0.27272486686706543,
16,305,,0.3135524392127991
17,309,0.3149486780166626,
17,319,0.5853108167648315,
17,323,,0.31093019247055054
18,329,0.2790275812149048,
18,339,0.3601480722427368,
18,341,,0.31102120876312256
19,349,0.2600211501121521,
19,359,0.45015665888786316,
19,359,,0.29204675555229187
20,369,5.022409439086914,
20,377,,2.407348871231079
21,379,4.018078327178955,
21,389,1.1077936887741089,
21,395,,0.33358797430992126
22,399,0.5363789200782776,
22,409,0.5423060655593872,
22,413,,0.3311845362186432
23,419,0.36108726263046265,
23,429,0.22218072414398193,
23,431,,0.2904956638813019
24,439,0.3551679253578186,
24,449,0.5269014239311218,
24,449,,0.29083725810050964
25,459,0.3632639944553375,
25,467,,0.28779447078704834
26,469,0.2588755786418915,
26,479,0.2915641963481903,
26,485,,0.26421478390693665
27,489,0.23499998450279236,
27,499,0.25877541303634644,
27,503,,0.26229432225227356
28,509,0.20040565729141235,
28,519,0.2512935996055603,
28,521,,0.25448450446128845
29,529,0.2930484414100647,
29,539,0.18706277012825012,
29,539,,0.25109508633613586
30,549,0.24839545786380768,
30,557,,0.24401473999023438
31,559,0.23640161752700806,
31,569,0.1881793886423111,
31,575,,0.24126136302947998
32,579,0.2525317966938019,
32,589,0.2440280318260193,
32,593,,0.2543891668319702
33,599,0.3264204263687134,
33,609,0.43368709087371826,
33,611,,0.2544991970062256
34,619,0.5840675830841064,
34,629,0.383960098028183,
34,629,,0.2586018443107605
35,639,0.21970990300178528,
35,647,,0.23226480185985565
36,649,0.23497098684310913,
36,659,0.24887977540493011,
36,665,,0.2269531786441803
37,669,0.2692795991897583,
37,679,0.2947285771369934,
37,683,,0.22498881816864014
38,689,0.2859261631965637,
38,699,0.3018723130226135,
38,701,,0.21951603889465332
39,709,0.30328214168548584,
39,719,0.2477714866399765,
39,719,,0.21899230778217316
40,729,0.32159847021102905,
40,737,,0.2181226909160614
41,739,0.24635732173919678,
41,749,0.2977636158466339,
41,755,,0.23013247549533844
42,759,0.7011089324951172,
42,769,0.35242605209350586,
42,773,,0.23797813057899475
43,779,0.20562222599983215,
43,789,0.24232171475887299,
43,791,,0.21528396010398865
44,799,0.2057153284549713,
44,809,0.1634153127670288,
44,809,,0.20853401720523834
45,819,0.22222626209259033,
45,827,,0.2028461992740631
46,829,0.243460550904274,
46,839,0.1466349959373474,
46,845,,0.19811591506004333
47,849,0.16316381096839905,
47,859,0.33977246284484863,
47,863,,0.19436292350292206
48,869,0.2937623858451843,
48,879,0.16821549832820892,
48,881,,0.19638380408287048
49,889,0.21310248970985413,
49,899,0.26240766048431396,
49,899,,0.1911197453737259
50,909,0.2560979127883911,
50,917,,0.18924012780189514
51,919,0.24100090563297272,
51,929,0.22491388022899628,
51,935,,0.1894325166940689
52,939,0.15557384490966797,
52,949,0.17651218175888062,
52,953,,0.1899411976337433
53,959,0.18856748938560486,
53,969,0.15199598670005798,
53,971,,0.18401482701301575
54,979,0.18833252787590027,
54,989,0.13618920743465424,
54,989,,0.1873190850019455
55,999,0.1969832479953766,
55,1007,,0.18003280460834503
56,1009,0.14104107022285461,
56,1019,0.3729317784309387,
56,1025,,0.2723674476146698
57,1029,0.9132035374641418,
57,1039,0.2920060157775879,
57,1043,,0.30779707431793213
58,1049,0.619673490524292,
58,1059,0.13862672448158264,
58,1061,,0.1938151866197586
59,1069,0.25945207476615906,
59,1079,0.3273732364177704,
59,1079,,0.18106302618980408
60,1089,0.2377568781375885,
60,1097,,0.2859399616718292
61,1099,2.2809927463531494,
61,1109,0.14255684614181519,
61,1115,,0.2729649543762207
62,1119,0.3911008834838867,
62,1129,0.3247019350528717,
62,1133,,0.19120097160339355
63,1139,0.20141395926475525,
63,1149,0.14889255166053772,
63,1151,,0.17884796857833862
64,1159,0.1952187567949295,
64,1169,0.20856013894081116,
64,1169,,0.17404593527317047
65,1179,0.21798200905323029,
65,1187,,0.16939902305603027
66,1189,0.23254339396953583,
66,1199,0.1949850618839264,
66,1205,,0.1682947427034378
67,1209,0.1672123372554779,
67,1219,0.2529236078262329,
67,1223,,0.1637977510690689
68,1229,0.20337004959583282,
68,1239,0.1894630342721939,
68,1241,,0.16463522613048553
69,1249,0.14906814694404602,
69,1259,0.21417944133281708,
69,1259,,0.16207833588123322
70,1269,0.18137621879577637,
70,1277,,0.16041165590286255
71,1279,0.1576930284500122,
71,1289,0.22056405246257782,
71,1295,,0.15810006856918335
72,1299,0.13611270487308502,
