epoch,step,train_loss,val_loss
0,9,1.1416553258895874,
0,17,,1.0399928092956543
1,19,1.0410200357437134,
1,29,1.036069631576538,
1,35,,1.002699375152588
2,39,1.0911163091659546,
2,49,0.9926364421844482,
2,53,,0.9864827394485474
3,59,0.9894413352012634,
3,69,0.9605331420898438,
3,71,,0.9665935039520264
4,79,0.9480289816856384,
4,89,0.9332214593887329,
4,89,,0.9447019696235657
5,99,0.923160195350647,
5,107,,0.9214423298835754
6,109,0.915026843547821,
6,119,0.9111952781677246,
6,125,,0.8957509994506836
7,129,0.8696614503860474,
7,139,0.8605256676673889,
7,143,,0.9184705018997192
8,149,1.475600004196167,
8,159,0.9116285443305969,
8,161,,1.0341813564300537
9,169,1.0054208040237427,
9,179,0.9490375518798828,
9,179,,0.8370723128318787
10,189,0.7924927473068237,
10,197,,0.8098767995834351
11,199,0.7828073501586914,
11,209,0.725559413433075,
11,215,,0.7752681374549866
12,219,0.7340775728225708,
12,229,0.7478848695755005,
12,233,,0.7490566968917847
13,239,0.6916132569313049,
13,249,0.6873348951339722,
13,251,,0.7189022898674011
14,259,0.6638492345809937,
14,269,0.6363243460655212,
14,269,,0.6955274343490601
15,279,0.6426607370376587,
15,287,,0.6754438281059265
16,289,0.6212939023971558,
16,299,0.5934264659881592,
16,305,,0.6555231809616089
17,309,0.5565457344055176,
17,319,0.5544143915176392,
17,323,,0.6407443284988403
18,329,0.5864136219024658,
18,339,0.5464266538619995,
18,341,,0.614037275314331
19,349,0.5026039481163025,
19,359,0.5099226236343384,
19,359,,0.5887877941131592
20,369,0.4982755184173584,
20,377,,0.5655003786087036
21,379,0.5111836194992065,
21,389,0.4688359797000885,
21,395,,0.544171154499054
22,399,0.4655264616012573,
22,409,0.4298018515110016,
22,413,,0.524891197681427
23,419,0.48250818252563477,
23,429,0.447698712348938,
23,431,,0.5269012451171875
24,439,0.5000069737434387,
24,449,0.4334201514720917,
24,449,,0.5348126888275146
25,459,0.5065571069717407,
25,467,,0.5090199112892151
26,469,0.38183778524398804,
26,479,0.3644139766693115,
26,485,,0.4910014569759369
27,489,0.44455504417419434,
27,499,0.3484838008880615,
27,503,,0.4753671884536743
28,509,0.3858221173286438,
28,519,0.39445972442626953,
28,521,,0.45496705174446106
29,529,0.3717869520187378,
29,539,0.4468941390514374,
29,539,,0.45288318395614624
30,549,0.34405818581581116,
30,557,,0.4541899859905243
31,559,0.4205038249492645,
31,569,0.3776181936264038,
31,575,,0.4292452335357666
32,579,0.3602648973464966,
32,589,0.3554975390434265,
32,593,,0.4183712899684906
33,599,0.3410431742668152,
33,609,0.3428184986114502,
33,611,,0.4104086756706238
34,619,0.3400515913963318,
34,629,0.3552360236644745,
34,629,,0.40101683139801025
35,639,0.31320488452911377,
35,647,,0.4070506691932678
36,649,0.32584479451179504,
36,659,0.3347163498401642,
36,665,,0.390595406293869
37,669,0.32712221145629883,
37,679,0.30403363704681396,
37,683,,0.4105139672756195
38,689,0.30604875087738037,
38,699,0.4137818217277527,
38,701,,0.39629247784614563
39,709,0.3564825654029846,
39,719,0.43195563554763794,
39,719,,0.3930020332336426
40,729,0.34810110926628113,
40,737,,0.37825068831443787
41,739,0.3673042356967926,
41,749,0.30109548568725586,
41,755,,0.38223323225975037
42,759,0.2711290419101715,
42,769,0.3075089454650879,
42,773,,0.36948010325431824
43,779,0.29172784090042114,
43,789,0.29606759548187256,
43,791,,0.3620912730693817
44,799,0.3294029235839844,
44,809,0.29070040583610535,
44,809,,0.352556973695755
45,819,0.27670204639434814,
45,827,,0.37976643443107605
46,829,0.32530346512794495,
46,839,0.29276758432388306,
46,845,,0.34238722920417786
47,849,0.33972299098968506,
47,859,0.32395482063293457,
47,863,,0.3555133044719696
48,869,0.3370220363140106,
48,879,0.2771987318992615,
48,881,,0.34218576550483704
49,889,0.26651132106781006,
49,899,0.26487669348716736,
49,899,,0.3256917893886566
50,909,0.28532499074935913,
50,917,,0.32099029421806335
51,919,0.2806439697742462,
51,929,0.2788298726081848,
51,935,,0.33850035071372986
52,939,0.3940425217151642,
52,949,0.4476702809333801,
52,953,,0.4080808162689209
53,959,0.31489288806915283,
53,969,0.30405500531196594,
53,971,,0.363066166639328
54,979,0.27194711565971375,
54,989,0.28329282999038696,
54,989,,0.3327008783817291
55,999,0.2530590295791626,
55,1007,,0.3205256462097168
56,1009,0.2612922489643097,
56,1019,0.26397034525871277,
56,1025,,0.31145739555358887
57,1029,0.2381090521812439,
57,1039,0.23840051889419556,
57,1043,,0.30408918857574463
58,1049,0.3012773394584656,
58,1059,0.2532768249511719,
58,1061,,0.2995072901248932
59,1069,0.22618509829044342,
59,1079,0.235430508852005,
59,1079,,0.34700989723205566
60,1089,0.33880898356437683,
60,1097,,0.48624876141548157
61,1099,0.8334329128265381,
61,1109,0.7562423944473267,
61,1115,,0.5783783793449402
62,1119,1.7125844955444336,
62,1129,0.8841291069984436,
62,1133,,0.5072447061538696
63,1139,0.684011697769165,
63,1149,0.41591572761535645,
63,1151,,0.44935014843940735
64,1159,0.36594200134277344,
64,1169,0.311880499124527,
64,1169,,0.4174870550632477
65,1179,0.3249955475330353,
65,1187,,0.39011114835739136
66,1189,0.3107697665691376,
66,1199,0.29140976071357727,
66,1205,,0.36770549416542053
67,1209,0.27152329683303833,
67,1219,0.2607261538505554,
67,1223,,0.35051265358924866
68,1229,0.23459580540657043,
68,1239,0.24839597940444946,
68,1241,,0.3380587100982666
69,1249,0.2576776146888733,
69,1259,0.248866468667984,
69,1259,,0.3264448940753937
70,1269,0.2393244355916977,
70,1277,,0.31751519441604614
71,1279,0.2536574900150299,
71,1289,0.25843387842178345,
71,1295,,0.30983826518058777
72,1299,0.25665029883384705,
72,1309,0.24557450413703918,
72,1313,,0.3024873435497284
73,1319,0.27695080637931824,
73,1329,0.22550302743911743,
73,1331,,0.2962191104888916
74,1339,0.22831940650939941,
74,1349,0.21338896453380585,
74,1349,,0.291108638048172
75,1359,0.24012944102287292,
75,1367,,0.28400805592536926
76,1369,0.21384891867637634,
76,1379,0.22978094220161438,
76,1385,,0.29147544503211975
77,1389,0.22836139798164368,
77,1399,0.38640499114990234,
77,1403,,0.32359328866004944
78,1409,0.24388760328292847,
78,1419,0.23491182923316956,
78,1421,,0.2987464666366577
79,1429,0.23432521522045135,
79,1439,0.21080715954303741,
79,1439,,0.28190144896507263
80,1449,0.23637637495994568,
80,1457,,0.2733393609523773
81,1459,0.19148901104927063,
81,1469,0.22082483768463135,
81,1475,,0.26756519079208374
82,1479,0.18064075708389282,
82,1489,0.19880470633506775,
82,1493,,0.2630177140235901
83,1499,0.1984732747077942,
83,1509,0.18814894556999207,
83,1511,,0.25759071111679077
84,1519,0.20324881374835968,
84,1529,0.2173011153936386,
84,1529,,0.2531479001045227
85,1539,0.19518843293190002,
85,1547,,0.24802184104919434
86,1549,0.2426404356956482,
86,1559,0.1886812001466751,
86,1565,,0.2444094568490982
87,1569,0.15679720044136047,
87,1579,0.2221643030643463,
87,1583,,0.2450442612171173
88,1589,0.22008682787418365,
88,1599,0.20758581161499023,
88,1601,,0.24216094613075256
89,1609,0.2181146889925003,
89,1619,0.1842631846666336,
89,1619,,0.23585325479507446
90,1629,0.1925942599773407,
90,1637,,0.23137401044368744
91,1639,0.18625545501708984,
91,1649,0.16196535527706146,
91,1655,,0.22755403816699982
92,1659,0.23567399382591248,
92,1669,0.20121131837368011,
92,1673,,0.2230345606803894
93,1679,0.1802445948123932,
93,1689,0.18458378314971924,
93,1691,,0.22638174891471863
94,1699,0.22482867538928986,
94,1709,0.32349592447280884,
94,1709,,0.33770573139190674
95,1719,0.38385409116744995,
95,1727,,0.27547821402549744
96,1729,0.22175946831703186,
96,1739,0.21142080426216125,
96,1745,,0.25181156396865845
97,1749,0.2228340357542038,
97,1759,0.18363335728645325,
97,1763,,0.23764538764953613
98,1769,0.19585074484348297,
98,1779,0.19334115087985992,
98,1781,,0.23111337423324585
99,1789,0.1756199151277542,
99,1799,0.15479809045791626,
99,1799,,0.22579805552959442
100,1809,0.16657139360904694,
100,1817,,0.22096337378025055
101,1819,0.20151451230049133,
101,1829,0.17300337553024292,
101,1835,,0.21580488979816437
102,1839,0.18252822756767273,
102,1849,0.18679209053516388,
102,1853,,0.2129060924053192
103,1859,0.1965368688106537,
103,1869,0.15124042332172394,
103,1871,,0.207549586892128
104,1879,0.18644283711910248,
104,1889,0.13819129765033722,
104,1889,,0.2081361562013626
105,1899,0.1468638777732849,
105,1907,,0.20272120833396912
106,1909,0.1982811689376831,
106,1919,0.1752781718969345,
106,1925,,0.19911475479602814
107,1929,0.17637592554092407,
107,1939,0.13862621784210205,
107,1943,,0.19648076593875885
108,1949,0.1397591382265091,
108,1959,0.15896347165107727,
108,1961,,0.19498106837272644
109,1969,0.18458500504493713,
109,1979,0.15639738738536835,
109,1979,,0.1946987807750702
110,1989,0.1941772997379303,
110,1997,,0.1927017718553543
111,1999,0.1549920290708542,
111,2009,0.17444109916687012,
111,2015,,0.19207027554512024
112,2019,0.1915518194437027,
112,2029,0.22589156031608582,
112,2033,,0.19672484695911407
113,2039,0.15640127658843994,
113,2049,0.1334117352962494,
113,2051,,0.19359028339385986
114,2059,0.1577620804309845,
114,2069,0.21396008133888245,
114,2069,,0.19306161999702454
115,2079,0.38638395071029663,
115,2087,,0.2068549394607544
116,2089,0.14603868126869202,
116,2099,0.17202989757061005,
116,2105,,0.20274220407009125
117,2109,0.20277640223503113,
117,2119,0.16596907377243042,
117,2123,,0.1980678141117096
118,2129,0.16635224223136902,
118,2139,0.18254497647285461,
118,2141,,0.21096505224704742
119,2149,0.14537781476974487,
119,2159,0.1510339379310608,
