epoch,step,train_loss,val_loss
0,9,157.77670288085938,
0,17,,36.8776741027832
1,19,88.33575439453125,
1,29,61.0219841003418,
1,35,,10.591784477233887
2,39,9.08377742767334,
2,49,16.040775299072266,
2,53,,3.8561794757843018
3,59,2.4197723865509033,
3,69,5.325143337249756,
3,71,,2.8324179649353027
4,79,4.803835868835449,
4,89,3.256057024002075,
4,89,,2.697942018508911
5,99,2.1834473609924316,
5,107,,2.2767350673675537
6,109,1.4126858711242676,
6,119,2.694772243499756,
6,125,,2.1309654712677
7,129,4.045187473297119,
7,139,1.4224005937576294,
7,143,,2.0062217712402344
8,149,1.5386056900024414,
8,159,2.035449504852295,
8,161,,1.909144639968872
9,169,1.5710973739624023,
9,179,1.6681503057479858,
9,179,,1.821297526359558
10,189,2.5070784091949463,
10,197,,1.739871859550476
11,199,2.1951539516448975,
11,209,1.998176097869873,
11,215,,1.676702618598938
12,219,1.56252121925354,
12,229,1.5537281036376953,
12,233,,1.6177196502685547
13,239,1.3888944387435913,
13,249,1.6097486019134521,
13,251,,1.6691333055496216
14,259,1.7028807401657104,
14,269,1.2409918308258057,
14,269,,1.5914462804794312
15,279,1.5303899049758911,
15,287,,1.474029541015625
16,289,1.8176093101501465,
16,299,1.2431485652923584,
16,305,,1.4540692567825317
17,309,1.923168420791626,
17,319,1.4959362745285034,
17,323,,1.4047685861587524
18,329,1.2808220386505127,
18,339,1.9051748514175415,
18,341,,1.8086422681808472
19,349,1.80387544631958,
19,359,3.7147724628448486,
19,359,,1.3797274827957153
20,369,1.2172555923461914,
20,377,,2.25932240486145
21,379,1.1346467733383179,
21,389,6.243411540985107,
21,395,,31.5655460357666
22,399,11.621480941772461,
22,409,34.27841567993164,
22,413,,31.78427505493164
23,419,12.509695053100586,
23,429,1.0355000495910645,
23,431,,4.4188008308410645
24,439,2.1554007530212402,
24,449,1.0024839639663696,
24,449,,1.5263327360153198
25,459,1.4985953569412231,
25,467,,1.2740362882614136
26,469,1.0025668144226074,
26,479,1.243812918663025,
26,485,,1.2514222860336304
27,489,1.5052344799041748,
27,499,1.4789538383483887,
27,503,,1.230818748474121
28,509,1.1589546203613281,
28,519,1.2274119853973389,
28,521,,1.2194572687149048
29,529,1.4084023237228394,
29,539,1.0483015775680542,
29,539,,1.2097923755645752
30,549,1.2375471591949463,
30,557,,1.1974544525146484
31,559,1.3620078563690186,
31,569,1.2947721481323242,
31,575,,1.1895877122879028
32,579,1.1203402280807495,
32,589,1.2002748250961304,
32,593,,1.1802390813827515
33,599,1.5259177684783936,
33,609,1.232921838760376,
33,611,,1.17231023311615
34,619,1.3365240097045898,
34,629,1.1674336194992065,
34,629,,1.205000638961792
35,639,1.197995662689209,
35,647,,1.23410964012146
36,649,1.3283069133758545,
36,659,1.177430272102356,
36,665,,1.171993374824524
37,669,1.0019035339355469,
37,679,1.3366729021072388,
37,683,,1.154152750968933
38,689,1.2383108139038086,
38,699,1.2292706966400146,
38,701,,1.1425762176513672
39,709,1.0967164039611816,
39,719,1.001632571220398,
39,719,,1.1369624137878418
40,729,1.1178016662597656,
40,737,,1.138890266418457
41,739,1.2590686082839966,
41,749,1.151951551437378,
41,755,,1.1291307210922241
42,759,1.0073771476745605,
42,769,1.3178279399871826,
42,773,,1.1287052631378174
43,779,1.0154014825820923,
43,789,1.1142171621322632,
43,791,,1.1221234798431396
44,799,1.370215654373169,
44,809,1.3083674907684326,
44,809,,1.1197586059570312
45,819,1.006344199180603,
45,827,,1.1214960813522339
46,829,1.1030821800231934,
46,839,1.0041905641555786,
46,845,,1.1303958892822266
47,849,1.156869649887085,
47,859,1.3118207454681396,
47,863,,1.1114778518676758
48,869,1.086357831954956,
48,879,1.1602776050567627,
48,881,,1.108994960784912
49,889,1.0642458200454712,
49,899,1.1828736066818237,
49,899,,1.1046242713928223
50,909,1.0054528713226318,
50,917,,1.1024374961853027
51,919,1.1021314859390259,
51,929,1.139190673828125,
51,935,,1.1014670133590698
52,939,1.179306983947754,
52,949,1.0973032712936401,
52,953,,1.1002287864685059
53,959,1.12078857421875,
53,969,1.0469179153442383,
53,971,,1.099363923072815
54,979,1.011594533920288,
54,989,1.268652319908142,
54,989,,1.0990400314331055
55,999,1.006131649017334,
55,1007,,1.327821135520935
56,1009,1.3791041374206543,
56,1019,1.6538859605789185,
56,1025,,1.1299495697021484
57,1029,1.1407716274261475,
57,1039,1.0389271974563599,
57,1043,,1.0917879343032837
58,1049,1.282693862915039,
58,1059,0.9887410402297974,
58,1061,,1.192598581314087
59,1069,1.0819602012634277,
59,1079,1.0046039819717407,
59,1079,,1.2535922527313232
60,1089,1.3510868549346924,
60,1097,,1.1979117393493652
61,1099,1.0589430332183838,
61,1109,1.4786264896392822,
61,1115,,1.3558621406555176
62,1119,1.151114821434021,
62,1129,2.035344123840332,
62,1133,,1.1164366006851196
63,1139,2.1228673458099365,
63,1149,1.1311402320861816,
63,1151,,3.019724130630493
64,1159,15.563328742980957,
64,1169,19.230253219604492,
64,1169,,1.641903281211853
65,1179,3.853854179382324,
