epoch,step,train_loss,val_loss
0,9,1.029131293296814,
0,17,,1.0147614479064941
1,19,1005938.875,
1,29,1.010998249053955,
1,35,,1.0185139179229736
2,39,12653822.0,
2,49,3570.8515625,
2,53,,1.0123066902160645
3,59,823960.125,
3,69,2.4771642684936523,
3,71,,1.0113601684570312
4,79,233550.546875,
4,89,1.1531200408935547,
4,89,,1.0130118131637573
5,99,1.0040745735168457,
5,107,,1.0101383924484253
6,109,1.0197417736053467,
6,119,1.0075846910476685,
6,125,,1.0098289251327515
7,129,1.0131778717041016,
7,139,1.0186247825622559,
7,143,,1.0095163583755493
8,149,107803.8984375,
8,159,1.0079392194747925,
8,161,,1.0092101097106934
9,169,1.0278029441833496,
9,179,1.0094714164733887,
9,179,,1.0089716911315918
10,189,1.053164005279541,
10,197,,1.0087498426437378
11,199,36764.41015625,
11,209,35675.609375,
11,215,,1.0085079669952393
12,219,1.0108134746551514,
12,229,30378.896484375,
12,233,,1.0082756280899048
13,239,26443.935546875,
13,249,27235.07421875,
13,251,,1.0080275535583496
14,259,72638.2421875,
14,269,1.003636121749878,
14,269,,1.0078223943710327
15,279,58993.84765625,
15,287,,1.007751226425171
16,289,88904.625,
16,299,1.0109837055206299,
16,305,,1.0105539560317993
17,309,27.338489532470703,
17,319,1.0144490003585815,
17,323,,1.009968876838684
18,329,1.0348875522613525,
18,339,459882.59375,
18,341,,1.0230443477630615
19,349,1.1052989959716797,
19,359,1.004096269607544,
19,359,,1.01060152053833
20,369,1605118.0,
20,377,,1.0100597143173218
21,379,1.137925386428833,
21,389,1.0079034566879272,
21,395,,1.0091263055801392
22,399,1.1499028205871582,
22,409,1.5678842067718506,
22,413,,1.0138156414031982
23,419,4.879986763000488,
23,429,270822.03125,
23,431,,1.0310581922531128
24,439,2196547.75,
24,449,1.0532127618789673,
24,449,,1.1021521091461182
25,459,1.0296428203582764,
25,467,,1.0209531784057617
26,469,5.44220495223999,
26,479,1727668.625,
26,485,,1.0101977586746216
27,489,1.0089051723480225,
27,499,1.0187830924987793,
27,503,,1.00892972946167
28,509,136929.0625,
28,519,50569.21484375,
28,521,,1.008656620979309
29,529,1.0100047588348389,
29,539,1.0092206001281738,
29,539,,1.008644938468933
30,549,52308.85546875,
30,557,,1.0085848569869995
31,559,45553.67578125,
31,569,19636.873046875,
31,575,,1.0085150003433228
32,579,17300.775390625,
32,589,15810.6298828125,
32,593,,1.0084574222564697
33,599,25.096101760864258,
33,609,13197.8046875,
33,611,,1.0083880424499512
34,619,10890.0947265625,
34,629,22916.052734375,
34,629,,1.0083130598068237
35,639,21666.4765625,
35,647,,1.0082284212112427
36,649,10243.439453125,
36,659,1.0066598653793335,
36,665,,1.0081554651260376
37,669,18983.23046875,
37,679,1.0192605257034302,
37,683,,1.008068323135376
38,689,8811.4521484375,
38,699,8425.6298828125,
38,701,,1.007969617843628
39,709,8292.275390625,
39,719,1.0090556144714355,
39,719,,1.0078752040863037
40,729,7765.912109375,
40,737,,1.0077779293060303
41,739,7622.10498046875,
41,749,1.0052144527435303,
41,755,,1.0076876878738403
42,759,13.315074920654297,
42,769,14385.8203125,
42,773,,1.007611632347107
43,779,7065.92578125,
43,789,1.0128307342529297,
43,791,,1.0075079202651978
44,799,6822.88623046875,
44,809,13313.2578125,
44,809,,1.007420301437378
45,819,6548.59521484375,
45,827,,1.00732421875
46,829,1.0067036151885986,
46,839,1.064985990524292,
46,845,,1.0072293281555176
47,849,6266.7880859375,
47,859,1.0046377182006836,
47,863,,1.007130742073059
48,869,5399.8876953125,
48,879,5981.2880859375,
48,881,,1.007050633430481
49,889,5938.89697265625,
49,899,1.0048656463623047,
49,899,,1.0069540739059448
50,909,1.0064377784729004,
50,917,,1.0068626403808594
51,919,1.0052752494812012,
51,929,1.0066536664962769,
51,935,,1.0067763328552246
52,939,1.0060627460479736,
52,949,10918.869140625,
52,953,,1.006688117980957
53,959,5392.83642578125,
53,969,5345.857421875,
53,971,,1.0066009759902954
54,979,1.0047907829284668,
54,989,10407.904296875,
54,989,,1.006511926651001
55,999,5122.607421875,
55,1007,,1.006400227546692
56,1009,10022.408203125,
56,1019,4955.064453125,
56,1025,,1.006304383277893
57,1029,14752.169921875,
57,1039,9662.626953125,
57,1043,,1.0062224864959717
58,1049,1.0061671733856201,
58,1059,9470.591796875,
58,1061,,1.0061403512954712
59,1069,1.0052461624145508,
59,1079,1.0047450065612793,
59,1079,,1.006052851676941
60,1089,9145.54296875,
60,1097,,1.0059736967086792
61,1099,1.005338430404663,
61,1109,4470.93408203125,
61,1115,,1.005875825881958
62,1119,8353.140625,
62,1129,1.0059857368469238,
62,1133,,1.0057799816131592
63,1139,1.0052598714828491,
63,1149,3818.642822265625,
63,1151,,1.0056978464126587
64,1159,1.0065381526947021,
64,1169,8314.9365234375,
64,1169,,1.0056074857711792
65,1179,4129.0634765625,
65,1187,,1.0055246353149414
66,1189,4088.421875,
66,1199,4022.86474609375,
66,1205,,1.00542151927948
67,1209,1.0063254833221436,
67,1219,3936.92626953125,
67,1223,,1.0053414106369019
68,1229,3540.162109375,
68,1239,3927.64111328125,
68,1241,,1.0052461624145508
69,1249,1.0033113956451416,
69,1259,1.0030968189239502,
69,1259,,1.0051641464233398
70,1269,1.0061595439910889,
70,1277,,1.0050935745239258
71,1279,1.0042672157287598,
71,1289,3600.723388671875,
71,1295,,1.0049961805343628
72,1299,3166.688232421875,
72,1309,1.0038764476776123,
72,1313,,1.0049132108688354
73,1319,3094.012939453125,
73,1329,3464.950927734375,
73,1331,,1.0048348903656006
74,1339,1.0041314363479614,
74,1349,6750.85986328125,
74,1349,,1.0047619342803955
75,1359,1.0028111934661865,
75,1367,,1.0046671628952026
76,1369,3277.797119140625,
76,1379,3253.912353515625,
76,1385,,1.0045921802520752
77,1389,3228.50390625,
77,1399,6370.095703125,
77,1403,,1.0045002698898315
78,1409,1.004510760307312,
78,1419,1.0037705898284912,
78,1421,,1.0044169425964355
79,1429,1.0043392181396484,
79,1439,6105.7685546875,
79,1439,,1.00434410572052
80,1449,1.003096103668213,
80,1457,,1.0042606592178345
81,1459,1.0050220489501953,
81,1469,1.0029979944229126,
81,1475,,1.004186987876892
82,1479,2930.397705078125,
82,1489,1.0262303352355957,
82,1493,,1.004105806350708
83,1499,2817.806396484375,
83,1509,1.0033810138702393,
83,1511,,1.0040127038955688
84,1519,2784.78173828125,
84,1529,1.0027194023132324,
84,1529,,1.0039409399032593
85,1539,2718.898193359375,
85,1547,,1.0038666725158691
86,1549,2696.146484375,
86,1559,1.0029505491256714,
86,1565,,1.0037950277328491
87,1569,2621.685302734375,
87,1579,2577.58251953125,
87,1583,,1.0037294626235962
88,1589,2566.28271484375,
88,1599,2562.51708984375,
88,1601,,1.0036591291427612
89,1609,1.0036802291870117,
89,1619,1.0033260583877563,
89,1619,,1.0035853385925293
90,1629,2468.166259765625,
90,1637,,1.0035136938095093
91,1639,4902.78857421875,
91,1649,5.091125011444092,
91,1655,,1.0034377574920654
92,1659,2411.027587890625,
92,1669,2378.648193359375,
92,1673,,1.0033677816390991
93,1679,1.0023682117462158,
93,1689,1.0036067962646484,
93,1691,,1.0032901763916016
94,1699,4594.77783203125,
94,1709,1.0061298608779907,
94,1709,,1.0032174587249756
95,1719,1.0218241214752197,
95,1727,,1.0031448602676392
96,1729,2220.5087890625,
96,1739,2215.78125,
96,1745,,1.0030786991119385
97,1749,2184.294677734375,
97,1759,2170.673828125,
97,1763,,1.0030157566070557
98,1769,4296.0244140625,
98,1779,2113.005615234375,
98,1781,,1.0029444694519043
99,1789,2102.942138671875,
99,1799,1.0030896663665771,
99,1799,,1.0028799772262573
100,1809,1.0022931098937988,
100,1817,,1.002825379371643
101,1819,2045.283447265625,
101,1829,2002.406982421875,
101,1835,,1.0027564764022827
102,1839,1.0027192831039429,
102,1849,1.0028358697891235,
102,1853,,1.002695083618164
103,1859,1.0024709701538086,
103,1869,1917.7667236328125,
103,1871,,1.0026320219039917
104,1879,3826.241455078125,
104,1889,1.0037927627563477,
104,1889,,1.002568006515503
105,1899,3540.65576171875,
105,1907,,1.0025012493133545
106,1909,1.0018762350082397,
106,1919,1853.6016845703125,
106,1925,,1.0024446249008179
107,1929,1626.6993408203125,
107,1939,1.001528024673462,
107,1943,,1.0023796558380127
108,1949,1808.8115234375,
108,1959,1.0035591125488281,
108,1961,,1.0023298263549805
109,1969,1759.4783935546875,
109,1979,1.000921368598938,
109,1979,,1.0022649765014648
110,1989,3443.123046875,
110,1997,,1.0022045373916626
111,1999,1697.902587890625,
111,2009,1.002692461013794,
111,2015,,1.0021495819091797
112,2019,1675.5306396484375,
112,2029,1655.1263427734375,
112,2033,,1.002084493637085
113,2039,1634.5791015625,
113,2049,1.0023514032363892,
113,2051,,1.0020276308059692
114,2059,1.0013816356658936,
114,2069,3167.4853515625,
114,2069,,1.001976490020752
115,2079,4703.81982421875,
115,2087,,1.0019102096557617
116,2089,1.0014686584472656,
116,2099,3090.673583984375,
116,2105,,1.001853585243225
117,2109,1.0016658306121826,
117,2119,3018.46630859375,
117,2123,,1.0018030405044556
118,2129,1504.513427734375,
118,2139,4444.2314453125,
118,2141,,1.0017491579055786
119,2149,1469.9195556640625,
119,2159,1.0012913942337036,
119,2159,,1.001701831817627
120,2169,1.0024844408035278,
120,2177,,1.001641869544983
121,2179,1.000841736793518,
121,2189,1.0010154247283936,
121,2195,,1.001596212387085
122,2199,1.002545714378357,
122,2209,2209.577880859375,
122,2213,,1.0015476942062378
123,2219,1.0017707347869873,
123,2229,4521.6572265625,
123,2231,,1.0014992952346802
124,2239,1.0014443397521973,
124,2249,3962.33203125,
124,2249,,1.0014594793319702
125,2259,7228.81787109375,
125,2267,,1.0014034509658813
126,2269,1.0015134811401367,
126,2279,1.0014429092407227,
126,2285,,1.001331090927124
127,2289,1.0008325576782227,
127,2299,1.0007884502410889,
127,2303,,1.001277208328247
128,2309,19262.765625,
128,2319,1.000754952430725,
128,2321,,1.0012151002883911
129,2329,1.0005254745483398,
129,2339,1.0001341104507446,
129,2339,,1.0013710260391235
130,2349,55337.02734375,
130,2357,,1.0020967721939087
131,2359,7.293156623840332,
131,2369,373466.0,
131,2375,,1.0020322799682617
132,2379,16569.6640625,
132,2389,1.001131296157837,
132,2393,,1.0008069276809692
133,2399,11957.6337890625,
133,2409,281028.46875,
133,2411,,1.0011472702026367
134,2419,1.0002317428588867,
134,2429,1.000792384147644,
134,2429,,1.0029679536819458
135,2439,1.0792737007141113,
135,2447,,1.0013455152511597
136,2449,1.00038480758667,
136,2459,1.0006327629089355,
136,2465,,1.0066370964050293
137,2469,56187.8046875,
137,2479,13181.47265625,
137,2483,,1.0010204315185547
138,2489,1.2262601852416992,
138,2499,4.659054756164551,
138,2501,,1.0005738735198975
139,2509,2254.9189453125,
139,2519,1.000255823135376,
139,2519,,1.0005512237548828
140,2529,1812.53662109375,
140,2537,,1.0005346536636353
141,2539,1.0003182888031006,
141,2549,1322.126220703125,
141,2555,,1.0005275011062622
142,2559,1.000076174736023,
142,2569,1279.33154296875,
142,2573,,1.0005178451538086
143,2579,3603.15234375,
143,2589,1.0011253356933594,
143,2591,,1.0005096197128296
144,2599,1126.1593017578125,
144,2609,1.0022313594818115,
144,2609,,1.0005041360855103
145,2619,1074.2335205078125,
145,2627,,1.0004962682724
146,2629,1.0001440048217773,
