epoch,step,train_loss,val_loss
0,9,1.0925523042678833,
0,19,1.388839602470398,
0,29,1.072035312652588,
0,36,,1.1333422660827637
1,39,1.0466512441635132,
1,49,1.1392707824707031,
1,59,1.005087971687317,
1,69,1.0017337799072266,
1,73,,1.0129445791244507
2,79,1.0052379369735718,
2,89,1.0026193857192993,
2,99,1.0028364658355713,
2,109,1.004152774810791,
2,110,,1.0072729587554932
3,119,1.006385087966919,
3,129,1.002497911453247,
3,139,1.0007061958312988,
3,147,,1.0045267343521118
4,149,1.010141372680664,
4,159,1.0067620277404785,
4,169,1.0016751289367676,
4,179,1.0017280578613281,
4,184,,1.003735899925232
5,189,0.9998059272766113,
5,199,0.9993477463722229,
5,209,1.0010803937911987,
5,219,1.0067534446716309,
5,221,,1.0031262636184692
6,229,0.999875545501709,
6,239,1.0009889602661133,
6,249,1.0075687170028687,
6,258,,1.0025309324264526
7,259,1.0002281665802002,
7,269,0.998694658279419,
7,279,0.9984327554702759,
7,289,1.019921064376831,
7,295,,1.5678521394729614
8,299,1.0338165760040283,
8,309,1.3488843441009521,
8,319,1.0605974197387695,
8,329,1.002500295639038,
8,332,,1.0314903259277344
9,339,1.0001521110534668,
9,349,1.0018069744110107,
9,359,1.00089693069458,
9,369,0.9988799095153809,
9,369,,1.0046608448028564
10,379,0.9999938011169434,
10,389,1.0017496347427368,
10,399,1.000156044960022,
10,406,,1.001914381980896
11,409,1.0013022422790527,
11,419,1.0010874271392822,
11,429,1.001963496208191,
11,439,0.9991450309753418,
11,443,,1.0013957023620605
12,449,0.9984341859817505,
12,459,0.999609112739563,
12,469,1.0078771114349365,
12,479,0.9984993934631348,
12,480,,1.001665711402893
13,489,0.9999058246612549,
13,499,0.9970830678939819,
13,509,0.9997758865356445,
13,517,,1.0008708238601685
14,519,0.998996376991272,
14,529,0.9988665580749512,
14,539,0.9990125894546509,
14,549,1.0014578104019165,
14,554,,1.000766634941101
15,559,0.997613787651062,
15,569,0.9993545413017273,
15,579,0.9982320666313171,
15,589,0.9992064237594604,
15,591,,1.0007761716842651
16,599,0.9979907274246216,
16,609,0.997198224067688,
16,619,0.997958242893219,
16,628,,1.0006498098373413
17,629,1.000767469406128,
17,639,0.9968817830085754,
17,649,0.9965299367904663,
17,659,0.9966588020324707,
17,665,,1.000495433807373
18,669,0.9976800680160522,
18,679,0.9979634284973145,
18,689,0.9987261295318604,
18,699,0.9982132315635681,
18,702,,1.0004627704620361
19,709,0.9981508255004883,
19,719,0.9957181215286255,
19,729,0.9997255802154541,
19,739,1.0007922649383545,
19,739,,1.0004889965057373
20,749,0.9949196577072144,
20,759,1.0001182556152344,
20,769,0.9975302219390869,
20,776,,1.0004031658172607
21,779,0.9933854937553406,
21,789,0.9953931570053101,
21,799,0.9967383146286011,
21,809,0.996028482913971,
21,813,,1.0007247924804688
22,819,0.9977109432220459,
22,829,0.9946179389953613,
22,839,0.9992914795875549,
22,849,0.9956244230270386,
22,850,,1.0080311298370361
23,859,1.001621961593628,
23,869,0.9991080164909363,
23,879,0.9948428273200989,
23,887,,1.21158766746521
24,889,1.0003414154052734,
24,899,0.999636173248291,
24,909,0.9995126724243164,
24,919,0.9992549419403076,
24,924,,1.0002559423446655
25,929,0.998913586139679,
25,939,0.9932973384857178,
25,949,0.9970296025276184,
25,959,0.9971246123313904,
25,961,,1.0000169277191162
26,969,0.9953042268753052,
26,979,0.9978618621826172,
26,989,0.9956879019737244,
26,998,,0.9999243021011353
27,999,0.9978153705596924,
27,1009,0.9913797974586487,
27,1019,0.9940787553787231,
27,1029,0.9890412092208862,
27,1035,,0.9998040199279785
28,1039,0.9950869679450989,
28,1049,0.9906036853790283,
28,1059,0.9974066019058228,
28,1069,0.9930962920188904,
28,1072,,0.9997562766075134
29,1079,0.991553783416748,
29,1089,0.9976409673690796,
29,1099,0.9977172613143921,
29,1109,0.9985185265541077,
29,1109,,0.9997493624687195
30,1119,0.9964666366577148,
30,1129,0.9905303120613098,
30,1139,0.9919361472129822,
30,1146,,0.999301552772522
31,1149,0.9947680234909058,
31,1159,0.994073748588562,
31,1169,0.9935107827186584,
31,1179,0.9931926727294922,
31,1183,,0.9990432858467102
32,1189,0.9973403215408325,
32,1199,0.9933078289031982,
32,1209,0.9888147115707397,
32,1219,0.9933153390884399,
32,1220,,0.9987591505050659
33,1229,0.9894561767578125,
33,1239,0.9955407381057739,
33,1249,0.9933305978775024,
33,1257,,0.9983141422271729
34,1259,0.9888851046562195,
34,1269,0.9893703460693359,
34,1279,0.9876720905303955,
34,1289,0.9932342767715454,
34,1294,,0.9979305863380432
35,1299,0.9881306886672974,
35,1309,0.9908500909805298,
35,1319,0.9914175868034363,
35,1329,0.9917730689048767,
35,1331,,0.9970212578773499
36,1339,0.986034631729126,
36,1349,0.9925482273101807,
36,1359,0.9911450147628784,
36,1368,,0.9958799481391907
37,1369,0.984972357749939,
37,1379,0.9798139929771423,
37,1389,0.9794172644615173,
37,1399,0.9891999959945679,
37,1405,,0.9941509962081909
38,1409,0.9836379289627075,
38,1419,0.9916987419128418,
38,1429,0.98122239112854,
38,1439,0.9863759875297546,
38,1442,,0.996986448764801
