epoch,step,train_loss,val_loss
0,9,31.67589569091797,
0,17,,6.287858009338379
1,19,9.325803756713867,
1,29,10.107495307922363,
1,35,,3.0351722240448
2,39,8.982412338256836,
2,49,4.6526384353637695,
2,53,,2.1098380088806152
3,59,2.705904960632324,
3,69,2.0636990070343018,
3,71,,1.4037129878997803
4,79,1.3377714157104492,
4,89,0.973432183265686,
4,89,,1.0733152627944946
5,99,0.9170540571212769,
5,107,,0.8976714611053467
6,109,1.647153377532959,
6,119,0.7923488020896912,
6,125,,0.7950636148452759
7,129,1.2017784118652344,
7,139,1.1339337825775146,
7,143,,0.7227080464363098
8,149,1.3432927131652832,
8,159,1.4099280834197998,
8,161,,0.6713283658027649
9,169,0.9629719853401184,
9,179,1.0125890970230103,
9,179,,0.6365112066268921
10,189,0.8869580626487732,
10,197,,0.6077909469604492
11,199,0.8355594873428345,
11,209,0.5043154954910278,
11,215,,0.5834665298461914
12,219,0.6614202857017517,
12,229,0.6679395437240601,
12,233,,0.6002956032752991
13,239,0.6839693784713745,
13,249,0.7693275213241577,
13,251,,0.5776549577713013
14,259,0.6865442395210266,
14,269,0.5939081907272339,
14,269,,0.5400316119194031
15,279,1.1298550367355347,
15,287,,0.520324170589447
16,289,0.7007497549057007,
16,299,0.7562229633331299,
16,305,,0.5077857375144958
17,309,0.7540342211723328,
17,319,0.7167578935623169,
17,323,,0.5065111517906189
18,329,0.743857741355896,
18,339,0.46063125133514404,
18,341,,0.48771533370018005
19,349,1.0898964405059814,
19,359,0.58601313829422,
19,359,,0.4793638586997986
20,369,0.6167449951171875,
20,377,,0.46641218662261963
21,379,0.5800309181213379,
21,389,0.5323711633682251,
21,395,,0.4572151005268097
22,399,0.5178375840187073,
22,409,0.9378824234008789,
22,413,,0.4519217908382416
23,419,0.7595210671424866,
23,429,0.489004909992218,
23,431,,0.44454509019851685
24,439,0.526766300201416,
24,449,0.6063956618309021,
24,449,,0.43279561400413513
25,459,0.5812073945999146,
25,467,,0.4286962151527405
26,469,0.6040140986442566,
26,479,0.4455122947692871,
26,485,,0.4200780391693115
27,489,0.6397387385368347,
27,499,0.35144445300102234,
27,503,,0.4180161952972412
28,509,0.6200905442237854,
28,519,0.4726710319519043,
28,521,,0.4064690172672272
29,529,0.4788818359375,
29,539,1.130527377128601,
29,539,,0.3992757499217987
30,549,0.400967538356781,
30,557,,0.40339428186416626
31,559,0.4447152614593506,
31,569,0.6636831164360046,
31,575,,0.38749730587005615
32,579,0.5157006978988647,
32,589,0.480362206697464,
32,593,,0.44699785113334656
33,599,0.5237753987312317,
33,609,0.3118962049484253,
33,611,,0.37722307443618774
34,619,0.44411033391952515,
34,629,0.514945924282074,
34,629,,0.37293288111686707
35,639,0.6323063969612122,
35,647,,0.3780113458633423
36,649,0.608466386795044,
36,659,0.8729845285415649,
36,665,,0.3624327778816223
37,669,0.8651497960090637,
37,679,0.42390868067741394,
37,683,,0.35952815413475037
38,689,0.4310339093208313,
38,699,0.5434308052062988,
38,701,,0.36212149262428284
39,709,0.527051568031311,
39,719,0.2809146046638489,
39,719,,0.3499959707260132
40,729,0.36767566204071045,
40,737,,0.3655208945274353
41,739,0.49380022287368774,
41,749,0.39371412992477417,
41,755,,0.34954071044921875
42,759,0.3433668315410614,
42,769,0.5102900862693787,
42,773,,0.33796465396881104
43,779,0.5808449387550354,
43,789,0.4911192059516907,
43,791,,0.34690365195274353
44,799,0.3695662319660187,
44,809,0.4144299626350403,
44,809,,0.3391638696193695
45,819,0.383667528629303,
45,827,,0.33125123381614685
46,829,0.29490408301353455,
46,839,0.7198476791381836,
46,845,,0.32388240098953247
47,849,0.4217134714126587,
47,859,0.36558663845062256,
47,863,,0.35756567120552063
48,869,0.46466952562332153,
48,879,0.6884680986404419,
48,881,,0.3192085027694702
49,889,0.3428713381290436,
49,899,0.36331257224082947,
49,899,,0.31658175587654114
50,909,0.22311484813690186,
50,917,,0.31198832392692566
51,919,0.3138815760612488,
51,929,0.313944935798645,
51,935,,0.30992886424064636
52,939,0.278315007686615,
52,949,0.5814313292503357,
52,953,,0.3169685900211334
53,959,0.512942373752594,
53,969,0.5941582918167114,
53,971,,0.4041394591331482
54,979,0.3168213367462158,
54,989,0.3035111427307129,
54,989,,0.3030793070793152
55,999,0.44994890689849854,
55,1007,,0.29657450318336487
56,1009,0.34100353717803955,
56,1019,0.38004302978515625,
56,1025,,0.29771241545677185
57,1029,0.3968154191970825,
57,1039,0.2598796486854553,
57,1043,,0.30648189783096313
58,1049,0.5158877372741699,
58,1059,0.3344314396381378,
58,1061,,0.3282233774662018
59,1069,0.7420864105224609,
59,1079,1.1454981565475464,
59,1079,,0.6206929087638855
60,1089,0.39308393001556396,
60,1097,,1.399418592453003
61,1099,1.5616333484649658,
61,1109,0.35435551404953003,
61,1115,,0.483997642993927
62,1119,0.3882407546043396,
62,1129,0.28727948665618896,
62,1133,,0.2941597104072571
63,1139,0.46616101264953613,
63,1149,0.385317325592041,
63,1151,,0.2915789484977722
64,1159,0.34965306520462036,
64,1169,0.4370955526828766,
64,1169,,0.28948748111724854
65,1179,0.42419177293777466,
65,1187,,0.31552597880363464
66,1189,0.34127360582351685,
66,1199,0.4129229187965393,
66,1205,,0.33000460267066956
67,1209,0.36795589327812195,
67,1219,0.25125810503959656,
67,1223,,0.2974642515182495
68,1229,0.2887742519378662,
68,1239,0.4181690812110901,
68,1241,,0.28565511107444763
69,1249,0.28500455617904663,
69,1259,0.2869689166545868,
69,1259,,0.27489396929740906
70,1269,0.24608369171619415,
70,1277,,0.2975531220436096
71,1279,0.2178928703069687,
71,1289,0.6182584762573242,
